total[50000]:acc[76.07%], correct[38036.0]
366:acc[82.0%], correct[41], total[50]
367:acc[90.0%], correct[45], total[50]
368:acc[74.0%], correct[37], total[50]
369:acc[70.0%], correct[35], total[50]
370:acc[84.0%], correct[42], total[50]
371:acc[66.0%], correct[33], total[50]
372:acc[92.0%], correct[46], total[50]
373:acc[78.0%], correct[39], total[50]
374:acc[64.0%], correct[32], total[50]
375:acc[90.0%], correct[45], total[50]
376:acc[100.0%], correct[50], total[50]
377:acc[76.0%], correct[38], total[50]
378:acc[78.0%], correct[39], total[50]
379:acc[90.0%], correct[45], total[50]
380:acc[64.0%], correct[32], total[50]
381:acc[42.0%], correct[21], total[50]
382:acc[78.0%], correct[39], total[50]
383:acc[74.0%], correct[37], total[50]
384:acc[92.0%], correct[46], total[50]
385:acc[64.0%], correct[32], total[50]
386:acc[62.0%], correct[31], total[50]
387:acc[94.0%], correct[47], total[50]
388:acc[94.0%], correct[47], total[50]
389:acc[78.0%], correct[39], total[50]
390:acc[62.0%], correct[31], total[50]
391:acc[86.0%], correct[43], total[50]
392:acc[94.0%], correct[47], total[50]
393:acc[88.0%], correct[44], total[50]
394:acc[80.0%], correct[40], total[50]
395:acc[76.0%], correct[38], total[50]
396:acc[96.0%], correct[48], total[50]
397:acc[90.0%], correct[45], total[50]
398:acc[84.0%], correct[42], total[50]
399:acc[82.0%], correct[41], total[50]
400:acc[38.0%], correct[19], total[50]
401:acc[86.0%], correct[43], total[50]
402:acc[54.0%], correct[27], total[50]
403:acc[78.0%], correct[39], total[50]
404:acc[88.0%], correct[44], total[50]
405:acc[76.0%], correct[38], total[50]
406:acc[58.0%], correct[29], total[50]
407:acc[94.0%], correct[47], total[50]
408:acc[72.0%], correct[36], total[50]
409:acc[66.0%], correct[33], total[50]
410:acc[88.0%], correct[44], total[50]
411:acc[66.0%], correct[33], total[50]
412:acc[62.0%], correct[31], total[50]
413:acc[48.0%], correct[24], total[50]
414:acc[44.0%], correct[22], total[50]
415:acc[50.0%], correct[25], total[50]
416:acc[88.0%], correct[44], total[50]
417:acc[94.0%], correct[47], total[50]
418:acc[62.0%], correct[31], total[50]
419:acc[80.0%], correct[40], total[50]
420:acc[86.0%], correct[43], total[50]
421:acc[70.0%], correct[35], total[50]
422:acc[58.0%], correct[29], total[50]
423:acc[68.0%], correct[34], total[50]
424:acc[64.0%], correct[32], total[50]
425:acc[94.0%], correct[47], total[50]
426:acc[84.0%], correct[42], total[50]
427:acc[64.0%], correct[32], total[50]
428:acc[72.0%], correct[36], total[50]
429:acc[80.0%], correct[40], total[50]
430:acc[94.0%], correct[47], total[50]
431:acc[74.0%], correct[37], total[50]
432:acc[88.0%], correct[44], total[50]
433:acc[74.0%], correct[37], total[50]
434:acc[64.0%], correct[32], total[50]
435:acc[42.0%], correct[21], total[50]
436:acc[66.0%], correct[33], total[50]
437:acc[76.0%], correct[38], total[50]
438:acc[56.0%], correct[28], total[50]
439:acc[82.0%], correct[41], total[50]
440:acc[72.0%], correct[36], total[50]
441:acc[78.0%], correct[39], total[50]
442:acc[72.0%], correct[36], total[50]
443:acc[62.0%], correct[31], total[50]
444:acc[88.0%], correct[44], total[50]
445:acc[60.0%], correct[30], total[50]
446:acc[70.0%], correct[35], total[50]
447:acc[64.0%], correct[32], total[50]
448:acc[80.0%], correct[40], total[50]
449:acc[84.0%], correct[42], total[50]
450:acc[92.0%], correct[46], total[50]
451:acc[84.0%], correct[42], total[50]
452:acc[74.0%], correct[37], total[50]
453:acc[72.0%], correct[36], total[50]
454:acc[62.0%], correct[31], total[50]
455:acc[70.0%], correct[35], total[50]
456:acc[78.0%], correct[39], total[50]
457:acc[80.0%], correct[40], total[50]
458:acc[94.0%], correct[47], total[50]
459:acc[58.0%], correct[29], total[50]
460:acc[70.0%], correct[35], total[50]
461:acc[40.0%], correct[20], total[50]
462:acc[68.0%], correct[34], total[50]
463:acc[60.0%], correct[30], total[50]
464:acc[52.0%], correct[26], total[50]
465:acc[52.0%], correct[26], total[50]
466:acc[98.0%], correct[49], total[50]
467:acc[84.0%], correct[42], total[50]
468:acc[68.0%], correct[34], total[50]
469:acc[56.0%], correct[28], total[50]
470:acc[64.0%], correct[32], total[50]
471:acc[88.0%], correct[44], total[50]
472:acc[96.0%], correct[48], total[50]
473:acc[74.0%], correct[37], total[50]
474:acc[74.0%], correct[37], total[50]
475:acc[94.0%], correct[47], total[50]
476:acc[96.0%], correct[48], total[50]
477:acc[60.0%], correct[30], total[50]
478:acc[54.0%], correct[27], total[50]
479:acc[40.0%], correct[20], total[50]
480:acc[74.0%], correct[37], total[50]
481:acc[56.0%], correct[28], total[50]
482:acc[26.0%], correct[13], total[50]
483:acc[74.0%], correct[37], total[50]
484:acc[74.0%], correct[37], total[50]
485:acc[50.0%], correct[25], total[50]
486:acc[84.0%], correct[42], total[50]
487:acc[78.0%], correct[39], total[50]
488:acc[36.0%], correct[18], total[50]
489:acc[76.0%], correct[38], total[50]
490:acc[68.0%], correct[34], total[50]
491:acc[90.0%], correct[45], total[50]
492:acc[64.0%], correct[32], total[50]
493:acc[26.0%], correct[13], total[50]
494:acc[66.0%], correct[33], total[50]
495:acc[76.0%], correct[38], total[50]
496:acc[90.0%], correct[45], total[50]
497:acc[68.0%], correct[34], total[50]
498:acc[62.0%], correct[31], total[50]
499:acc[42.0%], correct[21], total[50]
500:acc[90.0%], correct[45], total[50]
501:acc[44.0%], correct[22], total[50]
502:acc[58.0%], correct[29], total[50]
503:acc[56.0%], correct[28], total[50]
504:acc[48.0%], correct[24], total[50]
505:acc[60.0%], correct[30], total[50]
506:acc[70.0%], correct[35], total[50]
507:acc[76.0%], correct[38], total[50]
508:acc[66.0%], correct[33], total[50]
509:acc[54.0%], correct[27], total[50]
510:acc[86.0%], correct[43], total[50]
511:acc[86.0%], correct[43], total[50]
512:acc[90.0%], correct[45], total[50]
513:acc[52.0%], correct[26], total[50]
514:acc[74.0%], correct[37], total[50]
515:acc[72.0%], correct[36], total[50]
516:acc[54.0%], correct[27], total[50]
517:acc[74.0%], correct[37], total[50]
518:acc[94.0%], correct[47], total[50]
519:acc[60.0%], correct[30], total[50]
520:acc[72.0%], correct[36], total[50]
521:acc[76.0%], correct[38], total[50]
522:acc[80.0%], correct[40], total[50]
523:acc[62.0%], correct[31], total[50]
524:acc[56.0%], correct[28], total[50]
525:acc[80.0%], correct[40], total[50]
526:acc[54.0%], correct[27], total[50]
527:acc[54.0%], correct[27], total[50]
528:acc[88.0%], correct[44], total[50]
529:acc[70.0%], correct[35], total[50]
530:acc[54.0%], correct[27], total[50]
531:acc[54.0%], correct[27], total[50]
532:acc[76.0%], correct[38], total[50]
533:acc[86.0%], correct[43], total[50]
534:acc[64.0%], correct[32], total[50]
535:acc[98.0%], correct[49], total[50]
536:acc[52.0%], correct[26], total[50]
537:acc[86.0%], correct[43], total[50]
538:acc[76.0%], correct[38], total[50]
539:acc[54.0%], correct[27], total[50]
540:acc[88.0%], correct[44], total[50]
541:acc[52.0%], correct[26], total[50]
542:acc[56.0%], correct[28], total[50]
543:acc[68.0%], correct[34], total[50]
544:acc[72.0%], correct[36], total[50]
545:acc[84.0%], correct[42], total[50]
546:acc[76.0%], correct[38], total[50]
547:acc[88.0%], correct[44], total[50]
548:acc[88.0%], correct[44], total[50]
549:acc[48.0%], correct[24], total[50]
550:acc[72.0%], correct[36], total[50]
551:acc[78.0%], correct[39], total[50]
552:acc[84.0%], correct[42], total[50]
553:acc[82.0%], correct[41], total[50]
554:acc[100.0%], correct[50], total[50]
555:acc[84.0%], correct[42], total[50]
556:acc[58.0%], correct[29], total[50]
557:acc[72.0%], correct[36], total[50]
558:acc[48.0%], correct[24], total[50]
559:acc[72.0%], correct[36], total[50]
560:acc[92.0%], correct[46], total[50]
561:acc[90.0%], correct[45], total[50]
562:acc[90.0%], correct[45], total[50]
563:acc[78.0%], correct[39], total[50]
564:acc[84.0%], correct[42], total[50]
